publication_number,country,doc_number,kind,publication_date,title,abstract,claims,inventors,applicants,inventors_count,applicants_count,inpadoc_family_size,inpadoc_jurisdictions_count,inpadoc_jurisdiction_list,inpadoc_family_members,search_index
US2019046617A1,US,2019046617,A1,,"SYSTEMS, COMPOSITIONS, AND METHODS FOR TRANSPLANTATION
","Systems and methods for purification and concentration of autologous alpha-2-macroglobulin (A2M) from whole blood are provided. Also provided are diagnostic methods for identifying sites in the synovial joints, spine, tendons or ligaments for treatment of pain, degeneration, or inflammation with autologous A2M. Methods for utilizing autologous A2M in combination with other autologous treatments (e.g. platelets and other growth factors) are provided in addition to combinations with exogenous drugs or carriers. Also provided is a method of producing recombinant A2M wild type or variants thereof where the bait region was modified to enhance the inhibition characteristics of A2M and/or to prolong the half life of the protein in joints and spine disc or epidural space.",,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA, Lewis, || LAUGHLIN, John David, || BROWNING, Shawn Robert, || Hanna, Lewis, || Laughlin, John David, || Browning, Shawn Robert",CYTONICS CORP [US] || Cytonics Corporation,9,2,26,6,US || US || AU || AU || CA || CA || CA || EP || EP || EP || GB || GB || GB || GB || GB || GB || GB || GB || GB || US || US || US || US || US || US || WO,US2019046617A1 || US10940189B2 || AU2013222414A1 || AU2013222414B2 || CA2865170A1 || CA2865170C || CA3095010A1 || EP2827882A1 || EP2827882A4 || EP2827882B1 || GB201306788D0 || GB2501611A || GB2501611B || GB201315212D0 || GB2503131A || GB2503131B || GB201502417D0 || GB2522561A || GB2522561B || US2015174221A1 || US10265388B2 || US2019290741A1 || US11040092B2 || US2021268078A1 || US2025205319A1 || WO2013126587A1,11
US2017355749A1,US,2017355749,A1,,"THERAPEUTIC VARIANT ALPHA-2-MACROGLOBULIN COMPOSTIONS
","A2M polypeptide compositions containing a non-natural bait region are disclosed. Methods of producing wild-type and variant A2M polypeptides and polynucleotides containing a non-natural bait region are also disclosed. The bait regions of the variant A2M polypeptides demonstrate enhanced protease inhibitory characteristics compared to wild-type A2M. Variant A2M polypeptides that demonstrate longer half-lives upon administration to an organism compared to wild-type A2M are disclosed. The A2M compositions are useful in treating a number of diseases and conditions including inflammation, chronic wounds, and diseases with a pathology associated with proteases.",,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA Lewis, || LAUGHLIN John David, || BROWNING Shawn Robert, || Hanna, Lewis, || Laughlin, John David, || Browning, Shawn Robert",CYTONICS CORP [US] || CYTONICS CORPORATION,9,2,22,6,US || US || AU || AU || CA || EP || EP || EP || JP || JP || JP || JP || US || US || US || US || US || US || US || US || WO || WO,US2017355749A1 || US10400028B2 || AU2015349782A1 || AU2015349782B2 || CA2967973A1 || EP3221341A2 || EP3221341A4 || EP3221341B1 || JP2018501207A || JP6861152B2 || JP2021080282A || JP7166022B2 || US2019359690A1 || US2020148748A9 || US10889631B2 || US2021147511A1 || US11634475B2 || US2023250154A1 || US12195521B2 || US2025270292A1 || WO2016081834A2 || WO2016081834A3,12
AU2017254878A1,AU,2017254878,A1,,"SYSTEMS, COMPOSITIONS, AND METHODS FOR TRANSPLANTATION AND TREATING CONDITIONS","Abstract Systems and methods for purification and concentration of autologous alpha-2 macroglobulin (A2M) from whole blood and or recombinant A2M are provided. Also provided are methods of treating wounds with A2M. Methods for utilizing A2M in combination with other treatments (e.g., platelets and other growth factors) are provided in addition to combinations with exogenous drugs or carriers. Also provided is a method of producing recombinant A2M wild type or variants thereof where the bait region was modified to enhance the inhibition characteristics of A2M and/or to prolong the half-life of the protein for treating wounds.",,"HANNA LEWIS || LAUGHLIN JOHN DAVID || BROWNING SHAWN ROBERT || Hanna, Lewis, || Laughlin, John David, || Browning, Shawn Robert",CYTONICS CORP [US] || CYTONICS CORPORATION,6,2,12,5,AU || AU || CA || EP || EP || US || US || US || US || US || WO || WO,AU2017254878A1 || AU2014312249A1 || CA2922806A1 || EP3038635A2 || EP3038635A4 || US2015079194A1 || US9352021B2 || US2016271215A1 || US9498514B2 || US2017246372A1 || WO2015031654A2 || WO2015031654A3,13
US2017246372A1,US,2017246372,A1,,"SYSTEMS, COMPOSITIONS, AND METHODS FOR TRANSPLANTATION AND TREATING CONDITIONS","Systems and methods for purification and concentration of autologous alpha-2 macroglobulin (A2M) from whole blood and or recombinant A2M are provided. Also provided are methods of treating wounds with A2M. Methods for utilizing A2M in combination with other treatments (e.g., platelets and other growth factors) are provided in addition to combinations with exogenous drugs or carriers. Also provided is a method of producing recombinant A2M wild type or variants thereof where the bait region was modified to enhance the inhibition characteristics of A2M and/or to prolong the half-life of the protein for treating wounds.",,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA Lewis, || Laughlin John David, || Browning Shawn Robert",CYTONICS CORP [US] || CYTONICS CORPORATION,6,2,12,5,US || AU || AU || CA || EP || EP || US || US || US || US || WO || WO,US2017246372A1 || AU2014312249A1 || AU2017254878A1 || CA2922806A1 || EP3038635A2 || EP3038635A4 || US2015079194A1 || US9352021B2 || US2016271215A1 || US9498514B2 || WO2015031654A2 || WO2015031654A3,14
AU2015349782A1,AU,2015349782,A1,,Therapeutic variant alpha-2-macroglobulin compositions,"A2M polypeptide compositions containing a non-natural bait region are disclosed. Methods of producing wild-type and variant A2M polypeptides and polynucleotides containing a non-natural bait region are also disclosed. The bait regions of the variant A2M polypeptides demonstrate enhanced protease inhibitory characteristics compared to wild-type A2M.Variant A2M polypeptides that demonstrate longer half-lives upon administration to an organism compared to wild-type A2M are disclosed. The A2M compositions are useful in treating a number of diseases and conditions including inflammation, chronic wounds, and diseases with a pathology associated with proteases.",,"HANNA LEWIS || LAUGHLIN JOHN DAVID || BROWNING SHAWN ROBERT || Hanna, Lewis, || Laughlin, John David, || Browning, Shawn Robert",CYTONICS CORP [US] || CYTONICS CORPORATION,6,2,22,6,AU || AU || CA || EP || EP || EP || JP || JP || JP || JP || US || US || US || US || US || US || US || US || US || US || WO || WO,AU2015349782A1 || AU2015349782B2 || CA2967973A1 || EP3221341A2 || EP3221341A4 || EP3221341B1 || JP2018501207A || JP6861152B2 || JP2021080282A || JP7166022B2 || US2017355749A1 || US10400028B2 || US2019359690A1 || US2020148748A9 || US10889631B2 || US2021147511A1 || US11634475B2 || US2023250154A1 || US12195521B2 || US2025270292A1 || WO2016081834A2 || WO2016081834A3,15
CA2967973A1,CA,2967973,A1,,THERAPEUTIC VARIANT ALPHA-2-MACROGLOBULIN COMPOSITIONS,"A2M polypeptide compositions containing a non-natural bait region are disclosed. Methods of producing wild-type and variant A2M polypeptides and polynucleotides containing a non-natural bait region are also disclosed. The bait regions of the variant A2M polypeptides demonstrate enhanced protease inhibitory characteristics compared to wild-type A2M.Variant A2M polypeptides that demonstrate longer half-lives upon administration to an organism compared to wild-type A2M are disclosed. The A2M compositions are useful in treating a number of diseases and conditions including inflammation, chronic wounds, and diseases with a pathology associated with proteases.",,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA, LEWIS, || LAUGHLIN, JOHN DAVID, || BROWNING, SHAWN ROBERT",CYTONICS CORP [US] || CYTONICS CORPORATION,6,2,22,6,CA || AU || AU || EP || EP || EP || JP || JP || JP || JP || US || US || US || US || US || US || US || US || US || US || WO || WO,CA2967973A1 || AU2015349782A1 || AU2015349782B2 || EP3221341A2 || EP3221341A4 || EP3221341B1 || JP2018501207A || JP6861152B2 || JP2021080282A || JP7166022B2 || US2017355749A1 || US10400028B2 || US2019359690A1 || US2020148748A9 || US10889631B2 || US2021147511A1 || US11634475B2 || US2023250154A1 || US12195521B2 || US2025270292A1 || WO2016081834A2 || WO2016081834A3,16
US2016271215A1,US,2016271215,A1,,"SYSTEMS, COMPOSITIONS, AND METHODS FOR TRANSPLANTATION AND TREATING CONDITIONS
","Systems and methods for purification and concentration of autologous alpha-2 macroglobulin (A2M) from whole blood and or recombinant A2M are provided. Also provided are methods of treating wounds with A2M. Methods for utilizing A2M in combination with other treatments (e.g., platelets and other growth factors) are provided in addition to combinations with exogenous drugs or carriers. Also provided is a method of producing recombinant A2M wild type or variants thereof where the bait region was modified to enhance the inhibition characteristics of A2M and/or to prolong the half-life of the protein for treating wounds.",,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA Lewis, || LAUGHLIN John David, || BROWNING Shawn Robert, || Hanna Lewis, || Laughlin John David, || Browning Shawn Robert",CYTONICS CORP [US] || CYTONICS CORPORATION,9,2,12,5,US || US || AU || AU || CA || EP || EP || US || US || US || WO || WO,US2016271215A1 || US9498514B2 || AU2014312249A1 || AU2017254878A1 || CA2922806A1 || EP3038635A2 || EP3038635A4 || US2015079194A1 || US9352021B2 || US2017246372A1 || WO2015031654A2 || WO2015031654A3,17
WO2016081834A2,WO,2016081834,A2,,THERAPEUTIC VARIANT ALPHA-2-MACROGLOBULIN COMPOSITIONS,"A2M polypeptide compositions containing a non-natural bait region are disclosed. Methods of producing wild-type and variant A2M polypeptides and polynucleotides containing a non-natural bait region are also disclosed. The bait regions of the variant A2M polypeptides demonstrate enhanced protease inhibitory characteristics compared to wild-type A2M.Variant A2M polypeptides that demonstrate longer half-lives upon administration to an organism compared to wild-type A2M are disclosed. The A2M compositions are useful in treating a number of diseases and conditions including inflammation, chronic wounds, and diseases with a pathology associated with proteases.",,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA, LEWIS, || LAUGHLIN, JOHN DAVID, || BROWNING, SHAWN ROBERT, || LAUGHLIN, JOHN, DAVID, || BROWNING, SHAWN, ROBERT",CYTONICS CORP [US] || CYTONICS CORPORATION,8,2,22,6,WO || WO || AU || AU || CA || EP || EP || EP || JP || JP || JP || JP || US || US || US || US || US || US || US || US || US || US,WO2016081834A2 || WO2016081834A3 || AU2015349782A1 || AU2015349782B2 || CA2967973A1 || EP3221341A2 || EP3221341A4 || EP3221341B1 || JP2018501207A || JP6861152B2 || JP2021080282A || JP7166022B2 || US2017355749A1 || US10400028B2 || US2019359690A1 || US2020148748A9 || US10889631B2 || US2021147511A1 || US11634475B2 || US2023250154A1 || US12195521B2 || US2025270292A1,18
EP3221341A2,EP,3221341,A2,,THERAPEUTIC VARIANT ALPHA-2-MACROGLOBULIN COMPOSITIONS,,,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA, Lewis, || LAUGHLIN, John David, || BROWNING, Shawn Robert",CYTONICS CORP [US] || Cytonics Corporation,6,2,22,6,EP || EP || EP || AU || AU || CA || JP || JP || JP || JP || US || US || US || US || US || US || US || US || US || US || WO || WO,EP3221341A2 || EP3221341A4 || EP3221341B1 || AU2015349782A1 || AU2015349782B2 || CA2967973A1 || JP2018501207A || JP6861152B2 || JP2021080282A || JP7166022B2 || US2017355749A1 || US10400028B2 || US2019359690A1 || US2020148748A9 || US10889631B2 || US2021147511A1 || US11634475B2 || US2023250154A1 || US12195521B2 || US2025270292A1 || WO2016081834A2 || WO2016081834A3,19
AU2014312249A1,AU,2014312249,A1,,"Systems, compositions, and methods for transplantation and treating conditions","Systems and methods for purification and concentration of autologous alpha-2 macroglobulin (A2M) from whole blood and or recombinant A2M are provided. Also provided are methods of treating wounds with A2M. Methods for utilizing A2M in combination with other treatments (e.g., platelets and other growth factors) are provided in addition to combinations with exogenous drugs or carriers. Also provided is a method of producing recombinant A2M wild type or variants thereof where the bait region was modified to enhance the inhibition characteristics of A2M and/or to prolong the half-life of the protein for treating wounds.",,"HANNA LEWIS || LAUGHLIN JOHN DAVID || BROWNING SHAWN ROBERT || HANNA, LEWIS, || LAUGHLIN, JOHN DAVID, || BROWNING, SHAWN ROBERT",CYTONICS CORP [US] || CYTONICS CORPORATION,6,2,12,5,AU || AU || CA || EP || EP || US || US || US || US || US || WO || WO,AU2014312249A1 || AU2017254878A1 || CA2922806A1 || EP3038635A2 || EP3038635A4 || US2015079194A1 || US9352021B2 || US2016271215A1 || US9498514B2 || US2017246372A1 || WO2015031654A2 || WO2015031654A3,20
CA2922806A1,CA,2922806,A1,,"SYSTEMS, COMPOSITIONS, AND METHODS FOR TRANSPLANTATION AND TREATING CONDITIONS","Systems and methods for purification and concentration of autologous alpha-2 macroglobulin (A2M) from whole blood and or recombinant A2M are provided. Also provided are methods of treating wounds with A2M. Methods for utilizing A2M in combination with other treatments (e.g., platelets and other growth factors) are provided in addition to combinations with exogenous drugs or carriers. Also provided is a method of producing recombinant A2M wild type or variants thereof where the bait region was modified to enhance the inhibition characteristics of A2M and/or to prolong the half-life of the protein for treating wounds.",,"HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA, LEWIS, || LAUGHLIN, JOHN DAVID, || BROWNING, SHAWN ROBERT",CYTONICS CORP [US] || CYTONICS CORPORATION,6,2,12,5,CA || AU || AU || EP || EP || US || US || US || US || US || WO || WO,CA2922806A1 || AU2014312249A1 || AU2017254878A1 || EP3038635A2 || EP3038635A4 || US2015079194A1 || US9352021B2 || US2016271215A1 || US9498514B2 || US2017246372A1 || WO2015031654A2 || WO2015031654A3,21
